Generation,Max,Min,Mean,Std,Cost Time
1.0,990.7049560546875,-22.657455444335938,-2.854537010192871,52.72011947631836,14.724984645843506
2.0,988.3488159179688,-35.6901969909668,3.2685019969940186,56.56739044189453,12.323117733001709
3.0,990.4690551757812,-229.24655151367188,22.887752532958984,93.81474304199219,1.377958059310913
4.0,1048.2711181640625,-35.45158386230469,80.39755249023438,158.81678771972656,2.1651418209075928
5.0,1075.2882080078125,-30.219173431396484,173.2103729248047,243.25833129882812,2.1480722427368164
6.0,1090.5537109375,-42.42853927612305,207.11866760253906,291.2796325683594,3.443197250366211
7.0,1210.64599609375,-33.02782440185547,294.89093017578125,386.2897033691406,3.7372100353240967
8.0,1230.5849609375,-24.245845794677734,407.4000244140625,442.77203369140625,3.7496426105499268
9.0,1251.679931640625,-34.8388786315918,493.57550048828125,475.6271057128906,3.7718698978424072
10.0,1310.08935546875,-58.446842193603516,535.5231323242188,480.82269287109375,3.893303155899048
11.0,1287.0858154296875,-22.370525360107422,597.603271484375,471.6939697265625,4.195923089981079
12.0,1442.6053466796875,-17.756187438964844,631.0318603515625,473.8854064941406,4.407294988632202
13.0,1390.470947265625,-12.18453311920166,590.0947265625,470.286865234375,4.294442415237427
14.0,1412.777587890625,-26.735246658325195,646.4251708984375,470.5332336425781,4.3660688400268555
15.0,1387.8914794921875,-14.937561988830566,631.6149291992188,465.55316162109375,4.316645622253418
16.0,1444.0718994140625,-10.764140129089355,637.6485595703125,476.7061767578125,4.3508522510528564
17.0,1408.1986083984375,-14.86080551147461,623.0598754882812,483.2236633300781,3.8078207969665527
18.0,1442.9639892578125,-14.257625579833984,678.1978149414062,467.7714538574219,4.299984693527222
19.0,1835.860595703125,-26.134855270385742,656.1132202148438,487.3111877441406,4.302448987960815
20.0,1842.9591064453125,-9.87391185760498,689.096435546875,494.79132080078125,4.351356029510498
21.0,1846.5635986328125,-10.866093635559082,713.4406127929688,499.6913146972656,3.8210079669952393
22.0,1853.0732421875,-13.44130802154541,712.8038330078125,502.5939025878906,3.8944897651672363
23.0,1837.205322265625,-7.901938438415527,737.8516845703125,512.0828247070312,4.224627256393433
24.0,1862.0155029296875,-14.18423843383789,763.3831176757812,526.8981323242188,4.283568382263184
25.0,1844.366943359375,-13.204493522644043,734.169921875,548.3411254882812,4.308786869049072
26.0,1926.2772216796875,-12.994722366333008,737.53564453125,543.281494140625,4.261529922485352
27.0,1943.7313232421875,-16.980613708496094,695.7516479492188,558.3087158203125,4.211045026779175
28.0,1933.8023681640625,-18.64064598083496,774.1530151367188,557.3045654296875,4.253631114959717
29.0,1943.033203125,-20.838851928710938,722.6642456054688,569.8759765625,3.83292555809021
30.0,1933.9227294921875,-13.104512214660645,809.3020629882812,558.931396484375,4.229560852050781
31.0,2006.8680419921875,-22.22002601623535,784.6212768554688,580.1448364257812,4.350286245346069
32.0,2017.379150390625,-17.730106353759766,821.2514038085938,587.0150756835938,4.3383095264434814
33.0,2011.3414306640625,-11.206282615661621,924.4729614257812,606.8466186523438,4.391247749328613
34.0,2054.216796875,-10.067732810974121,863.2347412109375,590.5678100585938,4.369105815887451
35.0,2128.1474609375,-16.368167877197266,939.3834228515625,591.9853515625,4.4077088832855225
36.0,2070.284912109375,-12.263128280639648,877.67236328125,637.1505737304688,4.327500104904175
37.0,2130.490966796875,-10.59199047088623,848.8889770507812,657.9352416992188,4.356025695800781
38.0,2129.271240234375,-8.635161399841309,812.16650390625,659.6400756835938,4.221954107284546
39.0,2329.34765625,-16.192893981933594,896.769775390625,671.153564453125,4.202632188796997
40.0,2276.2548828125,-15.068921089172363,888.0335083007812,661.7388305664062,4.226466178894043
41.0,2396.647705078125,-11.499493598937988,907.6911010742188,676.5147705078125,4.35464072227478
42.0,2326.176025390625,-21.430564880371094,861.3652954101562,703.9044799804688,3.806389093399048
43.0,2473.158203125,-26.22770881652832,864.5355224609375,696.884521484375,4.313372611999512
44.0,2314.80078125,-29.511005401611328,898.6947631835938,668.3848876953125,4.12221360206604
45.0,2511.842529296875,-31.259511947631836,876.4456176757812,699.5281372070312,4.288716793060303
46.0,2358.578369140625,-17.411163330078125,849.1026000976562,658.2080078125,4.27498459815979
47.0,2225.824462890625,-12.655155181884766,895.972412109375,665.7888793945312,4.173391819000244
48.0,2467.655029296875,-13.020289421081543,860.261962890625,666.0014038085938,3.8601224422454834
49.0,2336.99560546875,-18.20995330810547,856.4148559570312,687.9287109375,3.8297479152679443
50.0,2318.615966796875,-32.8148307800293,834.7880249023438,666.6277465820312,4.268511533737183
51.0,2362.689453125,-14.999215126037598,846.5264282226562,693.5237426757812,4.274925708770752
52.0,2322.59814453125,-22.34811019897461,814.714599609375,696.1781616210938,4.141309499740601
53.0,2404.814453125,-38.225860595703125,836.1211547851562,679.5328369140625,3.8576653003692627
54.0,2566.955322265625,-85.59687042236328,822.8362426757812,669.0939331054688,4.294342756271362
55.0,2325.699951171875,-79.69432830810547,827.9056396484375,721.109130859375,4.136795997619629
56.0,2447.25341796875,-46.826576232910156,799.5292358398438,697.7484130859375,4.090164661407471
57.0,2402.98779296875,-62.98093032836914,864.3671875,710.6954956054688,4.132677316665649
58.0,2511.235107421875,-50.11252212524414,859.47607421875,714.1343994140625,4.25897216796875
59.0,2612.30126953125,-55.64003372192383,843.7811279296875,731.2167358398438,4.230772018432617
60.0,2446.8115234375,-67.26002502441406,858.0224609375,717.2616577148438,4.249957799911499
61.0,2596.50732421875,-22.12934684753418,855.5800170898438,733.085693359375,4.283344984054565
62.0,2529.66796875,-38.24934005737305,855.9923706054688,731.5950317382812,3.8843984603881836
63.0,2442.93212890625,-27.263221740722656,816.38525390625,715.1362915039062,4.241043329238892
64.0,2480.52734375,-24.168663024902344,912.7586059570312,693.0626831054688,4.015129566192627
65.0,2476.853759765625,-33.66023635864258,849.8372802734375,703.7055053710938,3.92292857170105
66.0,2718.960205078125,-27.91521644592285,913.4576416015625,723.7081909179688,4.2262914180755615
67.0,2380.947509765625,-36.67967224121094,883.9583129882812,696.0220947265625,4.358323812484741
68.0,2566.386474609375,-55.09761428833008,881.3611450195312,714.4698486328125,4.117046356201172
69.0,2449.5380859375,-42.88896560668945,873.9522705078125,690.5350341796875,4.11911678314209
70.0,2415.1416015625,-25.138206481933594,899.26513671875,702.8848876953125,4.216063499450684
71.0,2488.476806640625,-30.29668617248535,929.6470336914062,676.89306640625,4.280673027038574
72.0,2529.33447265625,-31.11544418334961,868.5397338867188,704.7301025390625,3.895569324493408
73.0,2428.201416015625,-30.872900009155273,847.1279296875,706.7015380859375,4.315676689147949
74.0,2569.87158203125,-27.593429565429688,886.6736450195312,710.1682739257812,4.132422924041748
75.0,2623.9111328125,-37.62257766723633,867.9193115234375,745.56005859375,4.301722526550293
76.0,2506.587890625,-72.62516021728516,910.4730224609375,709.462646484375,4.283987522125244
77.0,2575.740966796875,-30.228073120117188,973.44287109375,735.5538940429688,4.358858585357666
78.0,2629.274169921875,-37.97444534301758,832.8462524414062,742.8059692382812,3.8085076808929443
79.0,2573.931640625,-26.911882400512695,952.5091552734375,723.646484375,4.367771863937378
80.0,2733.69140625,-10.724180221557617,977.4664916992188,729.2521362304688,4.394693613052368
81.0,2659.519287109375,-16.999406814575195,932.2978515625,745.41796875,4.313297986984253
82.0,2606.73876953125,-31.068418502807617,1006.1641235351562,762.7567749023438,4.219326019287109
83.0,2683.3564453125,-13.132617950439453,950.2703857421875,746.8082275390625,4.248119831085205
84.0,2631.0224609375,-15.652324676513672,1035.2684326171875,761.420654296875,4.336729049682617
85.0,2691.277099609375,-37.26420593261719,1004.0170288085938,791.7893676757812,4.325566530227661
86.0,2746.443115234375,-36.7960090637207,1039.8289794921875,784.3417358398438,4.318849325180054
87.0,2786.039794921875,-32.48973846435547,1002.9668579101562,766.4923095703125,4.156752824783325
88.0,2665.760986328125,-78.5333251953125,1039.08837890625,735.0311889648438,4.402701139450073
89.0,2707.962890625,-59.44880676269531,1016.8926391601562,766.171630859375,4.15945029258728
90.0,2680.51904296875,-50.44179916381836,1075.81884765625,778.992431640625,4.215416193008423
91.0,2635.56591796875,-65.3322525024414,1074.7869873046875,798.8531494140625,4.2969536781311035
92.0,2618.6455078125,-26.2816104888916,1057.9346923828125,787.0616455078125,4.294107913970947
93.0,2725.248046875,-50.3310432434082,1094.6773681640625,789.9740600585938,4.223958492279053
94.0,2691.0751953125,-45.86349105834961,1081.4266357421875,791.8385009765625,4.271730184555054
95.0,2652.376708984375,-42.15024948120117,1116.9580078125,808.687255859375,4.260002374649048
96.0,2784.8623046875,-45.19977569580078,1024.4918212890625,793.969482421875,3.8410122394561768
97.0,2828.904052734375,-65.77420806884766,1053.39501953125,817.1995849609375,4.269624471664429
98.0,2678.932373046875,-19.66344451904297,1059.5479736328125,825.4334716796875,4.261462688446045
99.0,2752.7998046875,-23.122297286987305,1034.0074462890625,852.2052612304688,4.287908315658569
100.0,2799.445556640625,-18.134498596191406,1057.1490478515625,792.2725830078125,3.9729511737823486
101.0,2873.128173828125,-18.229280471801758,1004.6924438476562,820.6981201171875,4.139651775360107
102.0,2794.180419921875,-47.37091827392578,1009.2741088867188,799.3599243164062,3.935018539428711
103.0,2868.48828125,-37.652587890625,999.5590209960938,808.6282958984375,4.341006755828857
104.0,2915.103515625,-81.5384750366211,981.2418212890625,830.7699584960938,4.096430778503418
105.0,2736.619140625,-54.583274841308594,1045.7215576171875,790.6087036132812,4.293583869934082
106.0,2958.0068359375,-88.45071411132812,1018.7681274414062,823.9378662109375,4.341867685317993
107.0,2783.585205078125,-27.82135772705078,1065.4202880859375,832.2178955078125,4.133997678756714
108.0,2951.859375,-9.177308082580566,1099.255615234375,814.7644653320312,4.319929122924805
109.0,3074.346435546875,-45.698707580566406,1023.384765625,803.33251953125,4.293836832046509
110.0,3011.401123046875,-25.36197853088379,1063.46826171875,833.2180786132812,4.307229042053223
111.0,3001.463134765625,-80.2745590209961,984.8318481445312,839.627197265625,3.8977572917938232
112.0,3091.232666015625,-58.627891540527344,1017.1664428710938,826.7340087890625,4.2841269969940186
113.0,2824.33740234375,-67.62905883789062,1053.52978515625,806.4322509765625,4.21530294418335
114.0,3018.705078125,-51.061614990234375,1058.1248779296875,823.9017333984375,4.213529586791992
115.0,2980.65380859375,-22.911752700805664,1102.86083984375,807.266357421875,4.287489414215088
116.0,2804.513427734375,-57.72243118286133,1068.8489990234375,826.7208862304688,4.288061618804932
117.0,2980.12646484375,-88.45516204833984,1023.8787231445312,834.4898681640625,4.303779125213623
118.0,3034.72216796875,-60.62406921386719,1049.834716796875,813.9843139648438,4.366195917129517
119.0,3020.214111328125,-47.481571197509766,1062.2420654296875,837.1066284179688,4.256543874740601
120.0,3189.08203125,-40.60505294799805,1087.3480224609375,841.1057739257812,4.305700302124023
121.0,3041.02294921875,-90.55659484863281,1016.4892578125,873.9444580078125,4.136829376220703
122.0,2999.22705078125,-48.01820755004883,1001.7493286132812,866.3533325195312,4.1842241287231445
123.0,3161.358154296875,-93.03717041015625,970.6275024414062,853.459716796875,3.8732171058654785
124.0,3309.6337890625,-99.82427978515625,1091.60595703125,932.7386474609375,4.106716632843018
